title	full_name	birthplace	career_start	career_end	draft	draft_year	draft_team	current_league	national_team	current_team	nationality	date_of_birth	sex
Parker Ford (ice hockey)	Parker Ford	, Rhode Island	2023		Undrafted			National Hockey League		Winnipeg Jets	American		
T. J. Hughes (ice hockey)	Terry-Jonathan Hughes	Hamilton, Ontario, Canada						National Collegiate Athletic Association		Michigan Wolverines men's ice hockey	Canadian		
Aleksander Barkov	Aleksander Aleksandrovich	Tampere, Finland	2011		2nd overall	2013	Florida Panthers	National Hockey League	FIN	Florida Panthers	Finnish		
Leigh Salters	Leigh Salters	, Ontario	2010	2016	Undrafted						Canadian		
Dean Strong	Dean Strong	Mississauga, Canada	2009	2014	Undrafted								
Ryan Munce	[[American Hockey League|AHL]]	Mississauga, Canada	2000	2012	82nd overall	2003	Los Angeles Kings	Allan Cup Hockey		Dundas Real McCoys	Canadian		
Maxime Sauvé	Maxime Sauvé	Tours, France	2010	2019	47th overall	2008	Boston Bruins				French		
Daniel Brejčák	Daniel Brejčák	Poprad, Czechoslovakia	2006		Undrafted			Slovak Extraliga		HK Poprad	Slovak		
Daniel Špaček	Daniel Špaček	Liberec, Czechoslovakia	2006		Undrafted			Czech Extraliga		HC Bílí Tygři Liberec	Czech		
Marcus Kink	Marcus Kink	Düsseldorf, West Germany	2001	2019				Deutsche Eishockey Liga	GER	Adler Mannheim	German		
Kalle Johansson (ice hockey)	Kalle Johansson	Östersund, Sweden	2007					HockeyAllsvenskan		IF Björklöven	Swedish		
Chris Dyment	Chris Dyment	Reading, Massachusetts, U.S.	2002	2009	97th overall	1999	Montreal Canadiens				American		
Michael Schutte	Michael Schutte	, Ontario	2002	2013	Undrafted						Canadian		
Pat Ginnell	[[Western Hockey League (minor pro)|WHL]]	Dauphin, Manitoba, Canada	1957	1966									
Jake Newton (ice hockey)	Jake Newton	, California	2010		Undrafted			GET-ligaen		Storhamar Ishockey	American		
Nils Nilsen	Nils Nilsen	Oslo, Norway									Norwegian		
Tore Falch Nilsen	Tore Falch Nilsen	Oslo, Norway											
Svein Enok Nørstebø	Svein Enok Nørstebø												
Øystein Olsen (ice hockey)	Øystein Olsen	Oslo, Norway									Norwegian		
Eirik Paulsen	Eirik Paulsen	Stavanger, Norway									Norwegian		
Erik Pedersen (ice hockey)	Erik Pedersen	Fredrikstad, Norway											
Marius Rath	Marius Rath												
Jørgen Salsten	Jørgen Salsten	Oslo, Norway									Norwegian		
Rob Schistad	Robert Norman Schistad												
Tommy Skaarberg	Tommy Sigurd Skaarberg	Sarpsborg, Norway									Norwegian		
Kim Søgaard	Kim Søgaard												
Sigurd Thinn	Sigurd Thinn												
Frank Vestreng	Frank Rune Vestreng												
Marius Voigt	Marius Voigt	Oslo, Norway									Norwegian		
Michael Schiechl	Michael Schiechl	Judenburg, Austria	2008					ICE Hockey League	Austria	Graz99ers	Austrian		
Manuel Latusa	Manuel Latusa	Vienna, Austria	2001	2018	Undrafted			Austrian Hockey League	Austria	EC Red Bull Salzburg	winger		
Thomas Koch (ice hockey)	Thomas Koch	Klagenfurt, Austria	1999					ICE Hockey League	Austria	EC KAC	url = http://www.kac.at/pressemitteilung-tommy-koch-zuruck-in-beim-ec-kac/ | title = Thomas Koch back in EC KAC | website = [[EC KAC		
Daniel Welser	Daniel Welser	Klagenfurt am Wörthersee, Austria	2000	2017	Undrafted			Austrian Hockey League	Austria	EC Red Bull Salzburg	url = http://www.redbull.com/cs/Satellite/de_AT/Article/Daniel-Welser-und-Florian-M%C3%BChlstein-bleiben-bei-021243337346459 | title = Daniel Welser and Florian Muhlstein stay with the Red Bulls | publisher = [[EC Red Bull Salzburg		
Marco Pewal	Marco Pewal	Villach, Austria	1999	2015					Austria		forward		
Artem Demkov	Artem Demkov	Minsk, Soviet Union	2008		Undrafted			Belarusian Extraleague	Belarus	HC Shakhter Soligorsk	Belarusian		
Roland Kaspitz	Roland Kaspitz	Spittal an der Drau, Austria	1999	2017					Austria		Austrian		
Michael Raffl	Michael Raffl	Villach, Austria	2006		Undrafted			ICE Hockey League	AUT	EC Red Bull Salzburg	Austrian		
Mario Altmann	Mario Altmann	Vienna, Austria	2004					ICE Hockey League	Austria	Graz99ers	Austrian		
Philipp Lukas	Philipp Lukas	Vienna, Austria	1996	2018					Austria		Austrian		
Rafael Rotter	Rafael Rotter	Vienna, Austria	2008		Undrafted			ICE Hockey League	Austria	Vienna Capitals	forward		
Patrick Harand	Patrick Harand	Vienna, Austria	2000					Aut.4	Austria	Union EC Wien	Austrian		
Markus Peintner	Markus Peintner	Lustenau, Austria	1999		Undrafted			Austrian Hockey League	Austria	EC VSV			
Dmitri Milchakov	Dmitri Sergeyevich Milchakov	Minsk, Soviet Union	2002		Undrafted			Kontinental Hockey League	Belarus	HC Dinamo Minsk	Belarusian		
John Gobbi	John Gobbi	Faido, Switzerland	1999	2018	Undrafted				Switzerland		Swiss		
Frederik Storm	Frederik Storm	, Gentofte Municipality	2007					Deutsche Eishockey Liga	Denmark	Kölner Haie	Danish		
Jan Jensen (ice hockey)	Jan Jensen	,	1987	2005					Denmark				
Morten Poulsen	Morten Poulsen	Herning, Denmark	2007					Metal Ligaen	Denmark	Herning Blue Fox	Danish		
Philip Hersby	Philip Hersby	Malmö, Sweden	1999	2015	Undrafted				Denmark		Danish		
Kasper Jensen (ice hockey)	Kasper Jensen	,	2007		Undrafted			AL-Bank Ligaen	Denmark	AaB Ishockey	Danish		
Marek Mazanec	Marek Mazanec	Písek, Czechoslovakia	2010		179th overall	2012	Nashville Predators	Czech Extraliga	&lt;!--Senior Czech Republic caps only--&gt;	HC Oceláři Třinec	Czech		
Dalibor Řezníček	Dalibor Řezníček	Uherský Brod, Czechoslovakia	2010					Czech Extraliga		HC Olomouc	Czech		
Vidar Johansen	Vidar Johansen	Asker, Norway									Norwegian		
Jon-Magne Karlstad	Jon-Magne Karlstad												
Per-Arne Kristiansen	Per-Arne Kristiansen	Hamar, Norway									Norwegian		
Truls Kristiansen	Truls Kristiansen	Asker, Norway									Norwegian		
Sven Lien	Sven Helge Lien	Drøbak, Norway									Norwegian		
Øivind Løsåmoen	Øivind Løsåmoen												
Håkon Lundenes	Håkon Lundenes												
Rune Molberg	Rune Molberg	Oslo, Norway			Undrafted								
Vern Mott	Vernon Douglas Mott										Canadian		
Erik Nerell	Erik Nerell	Oslo, Norway									Norwegian		
Ernst Lüthi	Ernst Lüthi	Switzerland, Switzerland	1976	1976					Switzerland				
Nando Mathieu	Nando Mathieu	Switzerland, Switzerland	1969	1976					SUI				
Georg Mattli	Georg Mattli	Arosa, Switzerland	1973	1987				National League A	SUI				
Andreas Meyer (ice hockey)	Andreas Meyer	Switzerland, Switzerland	1975	1988				National League A	Switzerland	SCL Tigers			
Mikhail Panshin	Mikhail Viktorovich Panshin	Cherepovets, Soviet Union	2000	2017	Undrafted				Kazakhstan				
Alexei Antsiferov	Alexei Alexandrovich Antsiferov	Novosibirsk, Russia	2009		Undrafted			Kontinental Hockey League	KAZ	Barys Astana			
Darby Walker	Darby Walker	Beaverlodge, Canada	1997	2002	Undrafted						Canadian		
Zach Yuen	Zachary Yuen	Vancouver, Canada	2013		119th overall	2011	Winnipeg Jets	&lt;!--Kontinental Hockey League	China	Free agent	url=http://www.eliteprospects.com/player.php?player=37266|title=Zach Yuen| website = Elite Prospects}}&lt;/ref&gt; Yuen was one of the first players of Chinese descent to be drafted in the [[NHL Entry Draft		
Vadim Pereskokov	Vadim Pereskokov	, Kazakhstan	2012					Slovak Extraliga		HC 19 Humenné	Russian		
Kevin Rooney (ice hockey)	Kevin Rooney	Canton, Massachusetts, U.S.	2016		Undrafted			National Hockey League	USA	Utah Mammoth	American		
Guillaume Brisebois	Guillaume Brisebois	Longueuil, Quebec, Canada	2017		66th overall	2015	Vancouver Canucks	National Hockey League		Vancouver Canucks	Canadian		
Jeff Daniels (ice hockey)	Jeffrey Dwayne Daniels	Oshawa, Canada	1988	2003	109th overall	1986	Pittsburgh Penguins				Canadian		
Buzz Schneider	[[American Hockey League|AHL]]	, Minnesota	1972	1982	98th overall	1974	Pittsburgh Penguins		USA		American		
David Cooper (ice hockey)	David Cooper	Ottawa, Ontario, Canada	1993	2005	11th overall	1992	Buffalo Sabres				Canadian		
Dale Craigwell	Dale A. Craigwell	Toronto, Canada	1991	2001	199th overall	1991	San Jose Sharks				Canadian		
Roxy Beaudro	Rocque Francis &quot;Roxy&quot; Beaudro	, Minnesota	1896	1917									
Normand Lacombe	Normand Lacombe	, Quebec	1983	1991	10th overall	1983	Buffalo Sabres				Canadian		
Steve Valiquette	Stephen Valiquette	Etobicoke, Ontario, Canada	2000	2012	190th overall	1996	Los Angeles Kings				Canadian		
Kyle Rossiter	Kyle Rossiter	Edmonton, Canada	2000	2006	30th overall	1998	Florida Panthers				Canadian		
Michael Nylander	Michael Gunnar Nylander	Stockholm, Sweden	1988	2015	59th overall	1991	Hartford Whalers		SWE		Swedish		
Tom Koivisto	Tom Koivisto	Turku, Finland	1993	2012	253rd overall	2002	St. Louis Blues	SM-liiga	FIN	Jokerit	Finnish		
Daniel Tjärnqvist	Daniel Carl Tjärnqvist	Umeå, Sweden	1994	2015	88th overall	1995	Florida Panthers		SWE		Swedish		
Ryan Hollweg	Ryan Alexander Hollweg	, California	2005	2018	238th overall	2001	New York Rangers	Czech Extraliga		HC Škoda Plzeň			
Steve Rucchin	Steve Andrew Rucchin	, Ontario	1994	2007	[[1994 NHL Supplemental Draft]]		Mighty Ducks of Anaheim		CAN		Canadian		
Patrick Côté (ice hockey)	Patrick Côté	LaSalle, Quebec, Canada	1995	2008	37th overall	1995	Dallas Stars				Canadian		
Kjell Dahlin	Kjell Håkan Dahlin	Timrå, Sweden	1981	1994	82nd overall	1981	Montreal Canadiens				Swedish		
Mika Strömberg	[[National League A|Nationalliga A]]	Helsinki, Finland	1989	2010	211th overall	1990	Quebec Nordiques	SM-liiga	FIN	'KalPa'	Finnish		
Marko Kiprusoff	Marko Kristian Kiprusoff	Turku, Finland	1990	2014	70th overall	1994	Montreal Canadiens		FIN		Finnish		
Esa Keskinen	[[SM-liiga]]	Ylöjärvi, Finland	1983	2000	101st overall	1985	Calgary Flames	SM-liiga	Finland				
Jarmo Myllys	Jarmo Pentti Kalevi Myllys	Savonlinna, Finland	1982	2005	172nd overall	1987	Minnesota North Stars		FIN		Finnish		
Tim Gleason	Timothy Patrick Gleason	Clawson, Michigan, United States	2003	2015	23rd overall	2001	Ottawa Senators	National Hockey League	USA		American		
Petteri Nummelin	Timo Petteri Nummelin	Turku, Finland	1992	2018	133rd overall	2000	Columbus Blue Jackets		Finland		Finnish		
Jeff Beukeboom	Jeffrey Scott Beukeboom	Ajax, Ontario, Canada	1985	1999	19th overall	1983	Edmonton Oilers	National Hockey League			Canadian		
Joona Luoto	Joona Luoto	Lempäälä, Finland	2016		Undrafted			Swedish Hockey League		HV71	Finnish		
Andrei Chibisov	Andrei Aleksandrovich Chibisov	Prokopyevsk, Russia	2014		Undrafted		}}	Kazakhstan Hockey Championship	RUS	Arlan Kokshetau	Russian		
Tim Conboy	Timothy M. Conboy	, Minnesota	2004	2018	217th overall	2002	San Jose Sharks				American		
Steve Nemeth	Steve Nemeth	Calgary, Canada	1987	1999	196th overall	1985	New York Rangers		Canada		Canadian		
Ian Kidd	Ian Kidd	Gresham, Oregon, U.S.	1987	1995	Undrafted						American		
Staal brothers	Staal brothers												
Marcus Krüger	Marcus Viktor Krüger	Stockholm, Sweden	2009		149th overall	2009	Chicago Blackhawks	Swedish Hockey League	SWE	Djurgårdens IF Hockey			
Henrik Eriksson (ice hockey)	Henrik Eriksson	Stockholm, Sweden	2007					Swedish Hockey League		Djurgårdens IF Hockey			
Niklas Andersson (ice hockey, born 1986)	Niklas Andersson	Stockholm, Sweden	2003					Austrian Hockey League		Alba Volán Székesfehérvár			
Gustaf Wesslau	Gustaf Wesslau	Upplands Väsby, Sweden	2008		Undrafted			&lt;!--Deutsche Eishockey Liga		Free Agent	Swedish		
Dit Clapper	Aubrey Victor &quot;Dit&quot; Clapper	Newmarket, Ontario, Canada	1927	1947									
Gordie Drillon	Gordon Arthur Drillon	Moncton, Canada	1935	1950									
Ian Laperrière	Ian Laperrière	Montreal, Canada	1993	2010	158th overall	1992	St. Louis Blues				Canadian-American		
Mattias Norström	Erik Johan Mattias	Stockholm, Sweden	1993	2008	48th overall	1992	New York Rangers	National Hockey League	SWE		Swedish		
Ron Tugnutt	Ronald Frederick Bradley Tugnutt	Scarborough, Ontario, Canada	1987	2004	81st overall	1986	Quebec Nordiques		CAN		Canadian		
Stéphane Quintal	[[Italian Hockey League Serie A|Serie A]]	Boucherville, Canada	1988	2005	14th overall	1987	Boston Bruins		CAN		Canadian		
Martin Ručinský	Martin Ručinský	, Most (city)	1988	2015	20th overall	1991	Edmonton Oilers		TCH		Czech		
Stéphan Lebeau	Stéphan Armand Lebeau	, Quebec	1988	2001	Undrafted						Canadian		
Brian Bellows	Brian Edward Bellows	St. Catharines, Canada	1982	1999	2nd overall	1982	Minnesota North Stars		CAN		Canadian		
Chris Higgins (ice hockey)	Christopher Robert Higgins	, New York	2003	2016	14th overall	2002	Montreal Canadiens		USA		American		
Mario Tremblay	Joseph Daniel Mario Tremblay	, Quebec	1974	1986	12th overall	1974	Montreal Canadiens				Canadian		
Jocelyn Thibault	Joseph Régis Jocelyn Thibault	Montreal, Canada	1993	2008	10th overall	1993	Quebec Nordiques				Canadian		
Vladimir Malakhov (ice hockey)	Vladimir Igorevich Malakhov	, Yekaterinburg	1986	2005	191st overall	1989	New York Islanders		URS		Russian		
Andrei Kovalenko	Andrei Nikolaevich Kovalenko										Russian		
Chris Nilan	Christopher John Nilan	Boston, U.S.	1979	1992	231st overall	1978	Montreal Canadiens		USA		American		
John Cunniff	John Paul Cunniff	South Boston, U.S.	1966	1980					USA				
František Kaberle Sr.	František Kaberle	Kladno, Czechoslovakia	1970	1983					TCH		Czech		
Stan Marple	Stanislaus Henry Marple	, Canada	1986	2007							Canadian		
Ron Mason	Ronald Herbert Mason	Seaforth, Ontario, Canada											
Paul Woods (ice hockey)	Paul William Woods	, Ontario	1977	1984	51st overall	1975	Montreal Canadiens						
Alex Belzile	Alex Belzile	Saint-Éloi, Quebec, Canada	2012		Undrafted			National Hockey League		Montreal Canadiens	Canadian		
Jens Hellgren	Jens Hellgren	Björbo, Sweden	2008	2021	155th overall	2007	Colorado Avalanche				Swedish		
Jonathan Johansson (ice hockey)	Jonathan Johansson	Gothenburg, Sweden	2009	2016	Undrafted						Swedish		
Jonathan Johnson (ice hockey)	(born 11 January 1993), better known as	Gävle, Sweden	2011					Swedish Hockey League		Skellefteå AIK			
Lino Martschini	Lino Martschini	Lucerne, Switzerland	2012		Undrafted			National League (ice hockey)	CHE	EV Zug	Swiss		
Andre Jorns	Andre Jorns	Switzerland, Switzerland	1975	1987				National League A	Switzerland	HC Ambrì-Piotta			
René Kiener	René Kiener	Bern, Switzerland	1955	1973					SUI				
Martin Riesen	Martin Riesen	Switzerland, Switzerland	1956	1956					Switzerland				
Philipp Neuenschwander	Philipp Neuenschwander	Switzerland, Switzerland	1981	1997				National League A	SUI	EV Zug			
Andreas Ritsch	[[National League A|NLA]]	Chur, Switzerland	1979	1998				National League B	Switzerland	EHC Chur			
Bruno Rogger	Bruno Rogger	, British Columbia	1981	1992					Switzerland				
Peter Schlagenhauf	Peter Schlagenhauf	Switzerland, Switzerland	1976	1992				National League B	Switzerland				
Roman Wäger	Roman Wäger	Switzerland, Switzerland	1980	1999					SUI				
Jürg Berger	Jürg Berger	Switzerland, Switzerland	1975	1985				National League A	SUI	SCL Tigers			
Walter Dürst (ice hockey, born 1950)	Walter Dürst	Switzerland, Switzerland	1968	1982					Switzerland				
Ueli Hofmann	Ueli Hofmann	Switzerland, Switzerland	1976	1989				National League A	Switzerland	EHC Olten			
Renzo Holzer	Renzo Holzer	Switzerland, Switzerland	1968	1987					SUI				
Dennis Desrosiers	Dennis Desrosiers	Kirkland Lake, Canada	1970	1983	Undrafted						Canadian		
Barry McKinlay	Barry McKinlay	, Edmonton	1991	2004	206th overall	1987	Montreal Canadiens				Canadian		
Leon Draisaitl	Leon Tim Draisaitl	Cologne, Germany	2014		3rd overall	2014	Edmonton Oilers	National Hockey League	DEU	Edmonton Oilers			
Colten Hayes	Colten Hayes	Maple Ridge, British Columbia, Canada	2011		Undrafted					Free Agent	Canadian		
Matthew Register	Matthew Register	, Calgary	2012		Undrafted			ECHL		Idaho Steelheads	Canadian		
Daulet Kenbayev	Daulet Sarsenuly  Kenbayev	Oskemen, Kazakhstan	2011					Kontinental Hockey League	KAZ	Barys Astana	center		
Connor Knapp	Connor Knapp	York, New York, U.S.	2012	2017	164th overall	2009	Buffalo Sabres				American		
Julie Zwarthoed	Julie Zwarthoed	Schinnen, Netherlands	2008					Swedish Women's Hockey League	NED	SDE Hockey	Dutch		f
Paul Fioroni	Paul Fioroni	Mississauga, Canada	1997	2006	Undrafted						Canadian		
Alex Petrovic	Alexander Petrovic	Edmonton, Canada	2012		36th overall	2010	Florida Panthers	National Hockey League		Dallas Stars	Canadian		
Brenden Kichton	Brenden Kichton	Spruce Grove, Alberta, Canada	2013	2020	127th overall , [[2011 NHL Entry Draft	2013	Winnipeg Jets				Canadian		
Gerhard Unterluggauer	Gerhard Unterluggauer	Villach, Austria	1992	2016	Undrafted				Austria		Captained		
Philippe Lakos	Philippe Lakos	Vienna, Austria	2000	2022	Undrafted				Austria		Austrian		
Johannes Reichel	Johannes Reichel	Klagenfurt, Austria	1999						Austria	Free Agent	Captaining		
Martin Schumnig	Martin Schumnig	Klagenfurt, Austria	2006		Undrafted			ICE Hockey League	Austria	Black Wings Linz	Austrian		
Matthias Trattnig	Matthias Trattnig	Graz, Austria, Austria	1995	2019	94th overall	1998	Chicago Blackhawks		Austria		url = https://www.facebook.com/ECRedBullSalzburg/posts/260054287412980 | title = Matthias Trattnig remains at the Red Bull | publisher = [[Facebook		
Robert Lukas (ice hockey)	Robert Lukas	Vienna, Austria	1996	2018					Austria		Austrian		
Juergen Penker	Juergen Penker	Bregenz, Austria	2000		Undrafted			Austrian Hockey League	Austria	Vienna Capitals			
Rene Swette	Rene Swette	Lustenau, Austria	2008					ICE Hockey League	Austria	HC TWK Innsbruck	Austrian		
Fabian Weinhandl	Fabian Weinhandl	Graz, Austria, Austria	2006		Undrafted			Austrian Hockey League	Austria	Free Agent			
Thomas Hundertpfund	Thomas Hundertpfund	Klagenfurt, Austria	2007					ICE Hockey League	AUT	EC KAC	Austrian		
Carter Hutton	Carter John Hutton	, Ontario	2010	2022	Undrafted						Canadian		
Tomaž Razingar	Tomaž Razingar	, Jesenice	1995	2015	Undrafted				SLO				
Tommy Kristiansen	Tommy Raymond Kristiansen	Sarpsborg, Norway	2005					GET-ligaen	Norway	Stavanger Oilers	Norwegian		
Brandon Saad	Brandon Saad	Pittsburgh, U.S.	2011		43rd overall	2011	Chicago Blackhawks	National Hockey League		Vegas Golden Knights	American		
Steve Allman	Steve Allman	Oslo, Norway	1986	1998					NOR		Norwegian		
Morgan Andersen	Morgan Andersen												
Cato Hamre Andersen	Cato Hamre Andersen	Oslo, Norway									Norwegian		
Lars Håkon Andersen	Lars Håkon Andersen												
Knut Andresen	Knut Henning Andresen	Asker, Norway											
Arne Bergseng	Arne Bergseng												
Lars Bergseng	Lars Bergseng												
Arne Billkvam	Arne Kristian Billkvam	Oslo, Norway											
Svenn Erik Bjørnstad	Svenn Erik Bjørnstad												
Tor Helge Eikeland	Tor Helge Eikeland	Oslo, Norway									Norwegian		
Jarl Eriksen	Jarl Eriksen												
Jan-Roar Fagerli	Jan-Roar Fagerli	Trondheim, Norway											
Knut Fjeldsgaard	Knut Andreas Fjeldsgaard	Oslo, Norway									Norwegian		
Jarle Friis	Jarle Friis												
Martin Friis	Martin Friis	Oslo, Norway									Norwegian		
Rune Gulliksen	Rune Gulliksen												
Carl Gunnar Gundersen	Carl Gunnar Gundersen	Stavanger, Norway									Norwegian		
Øystein Jarlsbo	Øystein Jarlsbo												
Tom Johansen	Tom Johansen	Oslo, Norway									Norwegian		
Gabrielle David	Gabrielle David	Drummondville, Canada	2019					Professional Women's Hockey League		Montreal Victoire	Canadian		f
Madison Bizal	Madison Bizal	Elk River, Minnesota, U.S.	2018					Swedish Women's Hockey League		SDE Hockey	American		f
Anneke Rankila	Anneke Rankila	Lino Lakes, Minnesota, Minnesota&lt;ref&gt;https://thehockeynews.com/womens/pwhl/signed-and-ready-rankila-will-continue-to-compete&lt;/ref&gt;						Professional Women's Hockey League		Toronto Sceptres	American		f
Jessica Kondas	Jessica Kondas	Calgary, Canada	2017					Professional Women's Hockey League		Toronto Sceptres	Canadian		f
Draft:George Fegaras	George Panagiotis Fegaras	Richmond Hill, Ontario, Canada	2022		83rd overall	2022	Dallas Stars	National Hockey League		Dallas Stars	Canadian		
Fabian Brunnström	Fabian Brunnström	Helsingborg, Sweden	2005	2017	Undrafted				Sweden		Swedish		
Andrei Bashkirov	Andrei Valerievich Bashkirov	Shelekhov, Russian Soviet Federative Socialist Republic	1991	2009	132nd overall	1998	Montreal Canadiens		Russia		Russian		
Mats Trygg	Mats Trygg	Oslo, Norway	1994		Undrafted			GET-ligaen	Norway	Vålerenga Ishockey	Norwegian		
Marius Trygg	Marius Trygg	Norway, Norway	1994				}}	GET-ligaen	Norway	Manglerud Star Ishockey	Norwegian		
Ted Hargreaves	Norman Edward Hargreaves	Weyburn, Saskatchewan, Canada	1969	1977					CAN				
Lindsay Carson	Lindsay Warren Carson	Oxbow, Saskatchewan, Canada	1980	1989	56th overall	1979	Philadelphia Flyers				Canadian		
Norm Dupont	Normand Joseph Gilles Dupont	Montreal, Canada	1977	1984	18th overall	1977	Montreal Canadiens				forward		
Larry Giroux	Lawrence Douglas Giroux	Weyburn, Saskatchewan, Canada	1971	1980	''Undrafted''						Canadian		
Garry Howatt	Garry Robert Charles Howatt	, Alberta	1972	1984	144th overall	1972	New York Islanders	National Hockey League			Canadian		
Paul Lawless (ice hockey)	Paul J. Lawless	, Toronto	1983	1999	14th overall	1982	Hartford Whalers				Canadian		
Frank Pietrangelo	Frank Pietrangelo	, Ontario	1986	2001	67th overall	1983	Pittsburgh Penguins				Canadian		
Rick Hampton	Richard Charles Hampton	Toronto, Canada	1974	1984	3rd overall	1974	California Golden Seals		CAN		Canadian		
Tom Laidlaw	Thomas John Laidlaw	Brampton, Ontario, Canada	1979	1991	93rd overall	1978	New York Rangers				Canadian		
Kevin LaVallee	Kevin A. LaVallee	, Greater Sudbury	1980	1996	32nd overall	1980	Calgary Flames				Canadian		
Ross Lonsberry	David Ross Lonsberry	, Saskatchewan	1966	1981									
Chris Dahlquist	Christopher Charles Dahlquist	, Minnesota	1985	1997	Undrafted				USA		American		
Lou Nanne	Louis Vincent Anthony Nanne	Sault Ste. Marie, Ontario, Canada	1963	1978					USA		Canadian		
Lars Lindgren	Lars Sune Lindgren	Piteå, Sweden	1972	1991	Undrafted				SWE		Swedish		
Bob Lorimer	Robert Roy Lorimer	Toronto, Canada	1975	1986	129th overall	1973	New York Islanders				Canadian		
André St. Laurent	André St. Laurent	Rouyn-Noranda, Canada	1973	1990	49th overall	1973	New York Islanders				Canadian		
Steve Pinizzotto	Steven Pinizzotto	Toronto, Canada	2007	2019	Undrafted						Canadian		
Larry Brown (ice hockey)	Larry Wayne Brown	, Manitoba	1967	1980							Canadian		
Bill MacKenzie	William Kenneth MacKenzie	Winnipeg, Canada	1934	1945									
Ed Johnstone	Edward Lavern &quot;Eddie&quot; Johnstone	Brandon, Manitoba, Canada	1974	1987	104th overall	1974	New York Rangers				Canadian		
Christian Matte	Christian Matte	, Quebec	1994	2004	153rd overall	1993	Quebec Nordiques				Canadian		
Gary Croteau	[[National Hockey League|NHL]]	, Greater Sudbury	1968	1981							forward		
Ernie Hicke	Ernest Allan Hicke	, Saskatchewan	1963	1980				National Hockey League			Canadian		
Gary Jarrett	Gary Walter Jarrett	Toronto, Canada	1959	1976							Canadian		
German Titov (ice hockey)	German Mikhailovich Titov	Borovsk, Russian Soviet Federative Socialist Republic	1982	2005	252nd overall	1993	Calgary Flames		RUS		Russian		
Jamie Hislop	James Donald Hislop	Sarnia, Canada	1976	1983	140th overall	1974	Montreal Canadiens				Canadian		
Mike Allison	Michael Earnest Allison	Fort Frances, Canada	1980	1990	35th overall	1980	New York Rangers				Canadian		
Joe Klukay	Joseph Francis Klukay	, Ontario	1942	1962									
Leroy Goldsworthy	Leroy Delano &quot;Goldy&quot; Goldsworthy	, Minnesota	1925	1942									
Jack Leswick	Jack Leswick	, Saskatchewan	1929	1934									
Keli Corpse	Keli Corpse	, Ontario	1994	2005	44th overall	1992	Montreal Canadiens		Canada		date=October 2025 |bot=InternetArchiveBot }}&lt;/ref&gt; Corpse was selected by the [[Montreal Canadiens		
Jan Larsson	Jan Larsson	Långshyttan, Sweden	1983	2003			}}	Swedish Hockey League	Sweden	Brynäs IF			
Mikko Vainonen	Mikko Vainonen	Helsinki, Finland	2011		118th overall	2012	Nashville Predators			Free Agent	Finnish		
Jari Korpisalo	Jari Korpisalo	Helsinki, Finland	1986	2005					FIN		Finnish		
Joonas Korpisalo	Joonas Korpisalo	Pori, Finland	2012		62nd overall	2012	Columbus Blue Jackets	National Hockey League	FIN	Boston Bruins	Finnish		
Dallas Jackson	Dallas Jackson	, Alberta	2010	2016	Undrafted						Canadian		
Chris Yule	[[Asia League Ice Hockey|ALH]]	Edmonton, Canada	1994		Undrafted			'''Asia League Ice Hockey	JPN	Nippon Paper Cranes	Canadian		
Dan Tudin	Daniel Tudin	, Ontario	2003		Undrafted			Serie A (ice hockey)	Italy	Ritten Sport	Canadian		
Scott Hotham	Scott Hotham	Barrie, Canada	2005		Undrafted						Canadian		
Andrew Hotham	Andrew Hotham	Barrie, Canada	2011		Undrafted			Allan Cup Hockey		Brantford Blast	Canadian		
Tim Bozon	Timothé Phillipe Bozon	St. Louis, Missouri, U.S.	2015		64th overall	2012	Montreal Canadiens	National League (ice hockey)	France	Genève-Servette HC	American		
Milan Jurík	Milan Jurík	Zvolen, Czechoslovakia	2004					Ligue Magnus		Scorpions de Mulhouse	Slovak		
Lukáš Jurík	Lukáš Jurík	Zvolen, Czechoslovakia	2000							Free agent	Slovak		
Matúš Leskovjanský	Matúš Leskovjanský	Spišská Nová Ves, Czechoslovakia	2005					Slovak Extraliga		HKm Zvolen	Slovak		
Martin Trochta	Martin Trochta	,	1998	2016				Slovak Extraliga		HKm Zvolen	Slovak		
Peter Zuzin	Peter Zuzin	Zvolen, Czechoslovakia	2010		Undrafted			Slovak Extraliga	SVK	HKM Zvolen	Slovak		
Daren Machesney	Daren Machesney	, Ontario	2006	2013	143rd overall	2005	Washington Capitals	American Hockey League			Canadian		
Tomi Hirvonen	Tomi Hirvonen	Tampere, Finland	1995	2006	207th overall	1995	Colorado Avalanche				Finnish		
Cameron Gaunce	Cameron Gaunce	, Greater Sudbury	2010		50th overall	2008	Colorado Avalanche			Free agent	Canadian		
Juraj Faith	Juraj Faith	Košice, Slovakia	1994	2017				Slovak Extraliga			Slovak		
Patrik Svitana	Patrik Svitana	Poprad, Czechoslovakia	2006		Undrafted			Slovak Extraliga	SVK	HK Dukla Michalovce	Slovak		
Ondrej Otčenáš	Ondrej Otčenáš	Piešťany, Czechoslovakia	2007	2013	123rd overall	2005	Carolina Hurricanes				Slovak		
Martin Gründling	Martin Gründling	Holíč, Czechoslovakia	2005					Slovak Extraliga		MHk 32 Liptovský Mikuláš	Slovak		
Michal Chovan	Michal Chovan	Zvolen, Czechoslovakia	2006		Undrafted			Slovak Extraliga		HC Košice	Slovak		
